url,type,label
http://pastehtml.com/view/b2i243gkw.html,phishing,phishing
http://www.ksra.ca/form/use/verify/form1.html,phishing,phishing
http://www.lappiramis.hu/wordpress/wp-content/themes/twentyeleven/inc/images/index.htm,phishing,phishing
http://habbomoedasgeraa.blogspot.com/,phishing,phishing
http://pastehtml.com/view/bfzi0ah2a.html,phishing,phishing
http://mikteks.biz/S7XIde/webscr_prim.php?bWlrdGVrcy5iaXo=uhsdsusu5485757kUJHNN546221oPLKj988777AOP784MTM1MDkxODc4OA==,phishing,phishing
http://creditmaster.eu/7416077659/241250503/,phishing,phishing
http://pastehtml.com/view/bfza8l1z0.html,phishing,phishing
http://www.jjscdc.cn/adfile/login.html?us.battle.net/login/en/?ref=us.battle.net/d3/en/index,phishing,phishing
http://netvanduc.vn/components/com_contact/views/contact/frm.htm,phishing,phishing
http://www.xmadwater.com.cn/js/?app=com-d3&us.battle.net/login/en/?ref=us.battle.net/d3/en/index,phishing,phishing
http://greenranca.ro/music/remax/remax/index.htm,phishing,phishing
http://www.bestcontractorsus.com/~everythi/klm/5632fa230292f8bb5eb1b3c22c353bbe/,phishing,phishing
http://us.battle.net.login.en.rrweb.asia/login/en/login.html?amp,phishing,phishing
http://pastehtml.com/view/bbdr3wk73.html,phishing,phishing
http://bank0famerica-com.z2.newmail.ru/secure_membin_BankOfAmeri_caemail_id43432gjg98987ihgwq72k9878e.htm?securelogin=yes?ssl_encryptlink=yes&amp;source=bankofamericaEMAILdefaultaspx?refererident=341348B3767313d1683678CADD124HJ8S748FGHHJC1AjkCB&amp;cookieid=43562714&amp;nocachelocal,phishing,phishing
http://sputnik.ee/js/signon.bankofamerica.com/index.html,phishing,phishing
http://pastehtml.com/view/b9xaugqjm.html,phishing,phishing
http://rs.qqgo.asia/m=weblogin/index.htm,phishing,phishing
http://www.in3h.com/panel-my-account-configeration-all-limited/panel-my-account-configeration-all-limited/nirvana.php?cmd=_login-run&amp;dispatch=c69d8cfe7d649b9c189a67404a994326c69d8cfe7d649b9c189a67404a994326,phishing,phishing
http://ama-rs.acimovic.info/templates/beez/sample.htm,phishing,phishing
http://www.bestofindianashville.com/wp-content/themes/export.php,phishing,phishing
http://www.maiyuhuuuuu.3owl.com/login_update.php,phishing,phishing
http://pastehtml.com/view/bbt10vfb9.html,phishing,phishing
http://us.battle.net.en.qe-rs.com/login/en/login.html?amp,phishing,phishing
http://habbo-100moedas-gratis-oficial.blogspot.com/,phishing,phishing
http://kitchenfashionista.com/ugfhedgtrfewty.php,phishing,phishing
